video_title,channel,published_at,video_url,trend_score,country,proxy_region,signal_source,confidence,collected_at
How to connect noisefit smart watch to mobile #shorts #youtubeshorts,City Seva - Local Services in Etah,2023-07-01T14:54:40Z,https://www.youtube.com/watch?v=VuJ0__yiK3w,60,France,DE,youtube,medium,2026-02-09T05:15:39.456961
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,100,Italy,DE,youtube,medium,2026-02-09T05:15:39.456961
Don&#39;t Miss⚡️Top 5 Best Smartwatch Under 2000 In Feb 2026⚡️Best Smartwatch Under 1500 - 2000,Techarsh,2026-02-07T06:37:00Z,https://www.youtube.com/watch?v=g8owCw95Zug,90,Italy,DE,youtube,medium,2026-02-09T05:15:39.456961
boAt Best Selling Smart Watch Here !  boAt Storm Call 2 ||  #prasadtechintelugu,Prasadtechintelugu,2023-10-11T10:30:10Z,https://www.youtube.com/watch?v=Ij5J1Zho4qI,80,Italy,DE,youtube,medium,2026-02-09T05:15:39.456961
Ram Vs Shyam! Best Smartwatch in sale #shorts,Shreemani Tripathi,2025-09-30T13:55:22Z,https://www.youtube.com/watch?v=scMlS46c0sQ,70,Italy,DE,youtube,medium,2026-02-09T05:15:39.456961
How to connect noisefit smart watch to mobile #shorts #youtubeshorts,City Seva - Local Services in Etah,2023-07-01T14:54:40Z,https://www.youtube.com/watch?v=VuJ0__yiK3w,60,Italy,DE,youtube,medium,2026-02-09T05:15:39.456961
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,100,Spain,DE,youtube,medium,2026-02-09T05:15:39.456961
Don&#39;t Miss⚡️Top 5 Best Smartwatch Under 2000 In Feb 2026⚡️Best Smartwatch Under 1500 - 2000,Techarsh,2026-02-07T06:37:00Z,https://www.youtube.com/watch?v=g8owCw95Zug,90,Spain,DE,youtube,medium,2026-02-09T05:15:39.457961
boAt Best Selling Smart Watch Here !  boAt Storm Call 2 ||  #prasadtechintelugu,Prasadtechintelugu,2023-10-11T10:30:10Z,https://www.youtube.com/watch?v=Ij5J1Zho4qI,80,Spain,DE,youtube,medium,2026-02-09T05:15:39.457961
Ram Vs Shyam! Best Smartwatch in sale #shorts,Shreemani Tripathi,2025-09-30T13:55:22Z,https://www.youtube.com/watch?v=scMlS46c0sQ,70,Spain,DE,youtube,medium,2026-02-09T05:15:39.457961
How to connect noisefit smart watch to mobile #shorts #youtubeshorts,City Seva - Local Services in Etah,2023-07-01T14:54:40Z,https://www.youtube.com/watch?v=VuJ0__yiK3w,60,Spain,DE,youtube,medium,2026-02-09T05:15:39.457961
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,100,Netherlands,DE,youtube,medium,2026-02-09T05:15:39.457961
Don&#39;t Miss⚡️Top 5 Best Smartwatch Under 2000 In Feb 2026⚡️Best Smartwatch Under 1500 - 2000,Techarsh,2026-02-07T06:37:00Z,https://www.youtube.com/watch?v=g8owCw95Zug,90,Netherlands,DE,youtube,medium,2026-02-09T05:15:39.457961
boAt Best Selling Smart Watch Here !  boAt Storm Call 2 ||  #prasadtechintelugu,Prasadtechintelugu,2023-10-11T10:30:10Z,https://www.youtube.com/watch?v=Ij5J1Zho4qI,80,Netherlands,DE,youtube,medium,2026-02-09T05:15:39.457961
Ram Vs Shyam! Best Smartwatch in sale #shorts,Shreemani Tripathi,2025-09-30T13:55:22Z,https://www.youtube.com/watch?v=scMlS46c0sQ,70,Netherlands,DE,youtube,medium,2026-02-09T05:15:39.457961
How to connect noisefit smart watch to mobile #shorts #youtubeshorts,City Seva - Local Services in Etah,2023-07-01T14:54:40Z,https://www.youtube.com/watch?v=VuJ0__yiK3w,60,Netherlands,DE,youtube,medium,2026-02-09T05:15:39.457961
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,100,Sweden,DE,youtube,medium,2026-02-09T05:15:39.457961
Don&#39;t Miss⚡️Top 5 Best Smartwatch Under 2000 In Feb 2026⚡️Best Smartwatch Under 1500 - 2000,Techarsh,2026-02-07T06:37:00Z,https://www.youtube.com/watch?v=g8owCw95Zug,90,Sweden,DE,youtube,medium,2026-02-09T05:15:39.457961
boAt Best Selling Smart Watch Here !  boAt Storm Call 2 ||  #prasadtechintelugu,Prasadtechintelugu,2023-10-11T10:30:10Z,https://www.youtube.com/watch?v=Ij5J1Zho4qI,80,Sweden,DE,youtube,medium,2026-02-09T05:15:39.457961
Ram Vs Shyam! Best Smartwatch in sale #shorts,Shreemani Tripathi,2025-09-30T13:55:22Z,https://www.youtube.com/watch?v=scMlS46c0sQ,70,Sweden,DE,youtube,medium,2026-02-09T05:15:39.457961
How to connect noisefit smart watch to mobile #shorts #youtubeshorts,City Seva - Local Services in Etah,2023-07-01T14:54:40Z,https://www.youtube.com/watch?v=VuJ0__yiK3w,60,Sweden,DE,youtube,medium,2026-02-09T05:15:39.457961
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,100,Poland,DE,youtube,medium,2026-02-09T05:15:39.457961
Don&#39;t Miss⚡️Top 5 Best Smartwatch Under 2000 In Feb 2026⚡️Best Smartwatch Under 1500 - 2000,Techarsh,2026-02-07T06:37:00Z,https://www.youtube.com/watch?v=g8owCw95Zug,90,Poland,DE,youtube,medium,2026-02-09T05:15:39.457961
boAt Best Selling Smart Watch Here !  boAt Storm Call 2 ||  #prasadtechintelugu,Prasadtechintelugu,2023-10-11T10:30:10Z,https://www.youtube.com/watch?v=Ij5J1Zho4qI,80,Poland,DE,youtube,medium,2026-02-09T05:15:39.457961
Ram Vs Shyam! Best Smartwatch in sale #shorts,Shreemani Tripathi,2025-09-30T13:55:22Z,https://www.youtube.com/watch?v=scMlS46c0sQ,70,Poland,DE,youtube,medium,2026-02-09T05:15:39.457961
How to connect noisefit smart watch to mobile #shorts #youtubeshorts,City Seva - Local Services in Etah,2023-07-01T14:54:40Z,https://www.youtube.com/watch?v=VuJ0__yiK3w,60,Poland,DE,youtube,medium,2026-02-09T05:15:39.457961
爆裂愛してる,M!LK - Topic,2026-02-08T10:03:21Z,https://www.youtube.com/watch?v=20bYUQZOAeQ,347249,Japan,JP,youtube,high,2026-02-09T05:15:40.519975
１億本を売り上げた最高傑作の神ゲー『 Wii Sports ＆ Wii Sports Resort 』,キヨ。,2026-02-08T08:45:13Z,https://www.youtube.com/watch?v=Pe1nTf0Fe8M,745100,Japan,JP,youtube,high,2026-02-09T05:15:40.519975
＝LOVE（イコールラブ）/ 夏祭り恋慕う - from 7th ANNIVERSARY PREMIUM CONCERT -【LIVE Ver. full】,＝LOVE（イコールラブ）公式チャンネル,2026-02-08T13:00:47Z,https://www.youtube.com/watch?v=StTkKH5w-z4,62854,Japan,JP,youtube,high,2026-02-09T05:15:40.519975
念願のSwitch2を手に入れた女たちが本気でマリパしたら恐怖映像すぎたwww,平成フラミンゴ,2026-02-08T11:00:54Z,https://www.youtube.com/watch?v=ZsIZczdfKH0,372196,Japan,JP,youtube,high,2026-02-09T05:15:40.519975
SixTONES – 一秒 [YouTube ver.],SixTONES,2026-02-06T13:00:07Z,https://www.youtube.com/watch?v=OxcDfA7PU-g,2741161,Japan,JP,youtube,high,2026-02-09T05:15:40.519975
Minecraft Pro VS 1000 Players,Wemmbu,2026-02-07T14:00:14Z,https://www.youtube.com/watch?v=CLm57ZHTJvQ,3771302,Australia,AU,youtube,high,2026-02-09T05:15:41.576156
I Built the first moving base in official Rust...,Willjum,2026-02-07T20:35:32Z,https://www.youtube.com/watch?v=GBWgVZiPZzA,785435,Australia,AU,youtube,high,2026-02-09T05:15:41.576156
Supergirl | Home,DC,2026-02-08T19:59:10Z,https://www.youtube.com/watch?v=VoqjnU_wGJM,267049,Australia,AU,youtube,high,2026-02-09T05:15:41.576156
NO RAGE HERE | Baby Steps - Part 1,Markiplier,2026-02-07T19:45:46Z,https://www.youtube.com/watch?v=jS2ykSmI9FA,1617624,Australia,AU,youtube,high,2026-02-09T05:15:41.576156
ATEEZ(에이티즈) - 'Adrenaline' Official MV,KQ ENTERTAINMENT,2026-02-06T05:00:01Z,https://www.youtube.com/watch?v=vqkfEUqjl6Y,14249269,Australia,AU,youtube,high,2026-02-09T05:15:41.576156
roblox best gameplay,StanRP,2026-02-09T00:50:27Z,https://www.youtube.com/watch?v=ezZlOYeLHOQ,884299,Canada,CA,youtube,high,2026-02-09T05:15:42.648262
Volare / Nothing Is Impossible Medley (Milano Cortina 2026 Olympic Winter Games Opening Ceremony),MariahCareyVEVO,2026-02-07T20:00:23Z,https://www.youtube.com/watch?v=i9mZIIi3tgE,465937,Canada,CA,youtube,high,2026-02-09T05:15:42.648262
ROBLOX DIG TO ESCAPE DETENTION!,Foltyn,2026-02-08T19:16:17Z,https://www.youtube.com/watch?v=YVC17r--Gjo,304700,Canada,CA,youtube,high,2026-02-09T05:15:42.648262
Olivia Dean - Man I Need (Live) | Spotify Best New Artist,Olivia Dean,2026-02-08T18:00:32Z,https://www.youtube.com/watch?v=S-mowvext3E,90948,Canada,CA,youtube,high,2026-02-09T05:15:42.648262
How many average gamers does it take to beat a Rocket League pro?,Ludwig,2026-02-08T18:07:56Z,https://www.youtube.com/watch?v=HOU-0SBG-HQ,227182,Canada,CA,youtube,high,2026-02-09T05:15:42.648262
FURIA x VITALITY | GRANDE FINAL | IEM Kraków 2026  - !socio - Siga @Gaules nas redes sociais!,Gaules,2026-02-09T00:54:29Z,https://www.youtube.com/watch?v=jQ7OgzjmMNM,1555165,Brazil,BR,youtube,high,2026-02-09T05:15:43.653522
GOZALO,gedam nesh - Topic,2026-02-08T01:47:05Z,https://www.youtube.com/watch?v=Es726XasQHU,450935,Brazil,BR,youtube,high,2026-02-09T05:15:43.653522
roblox best gameplay,StanRP,2026-02-09T00:50:27Z,https://www.youtube.com/watch?v=ezZlOYeLHOQ,884299,Brazil,BR,youtube,high,2026-02-09T05:15:43.653522
"PEGA A MALDADE DA BANDIDA - Dj Luan Gomes, Mc Ws da leste, Delleon",AMO FUNK,2026-02-08T13:52:19Z,https://www.youtube.com/watch?v=ePE8b0YNwRs,24493,Brazil,BR,youtube,high,2026-02-09T05:15:43.653522
COMPLETEI A COLEÇÃO DE ELEFANTES MAIS RARA DO BRAINROT 😱🐘,Canal Clash War,2026-02-08T21:45:01Z,https://www.youtube.com/watch?v=oQhkwivTAvs,272492,Brazil,BR,youtube,high,2026-02-09T05:15:43.653522
SAMMY HIZO UN ADMIN ABUSE DE SAN VALENTIN PARA SUS AMIGOS Y ESTUVE YO! 💖,ElAbrahaham,2026-02-08T18:30:01Z,https://www.youtube.com/watch?v=-Fa-w30iRUo,736844,Mexico,MX,youtube,high,2026-02-09T05:15:44.773760
GOZALO,gedam nesh - Topic,2026-02-08T01:47:05Z,https://www.youtube.com/watch?v=Es726XasQHU,450935,Mexico,MX,youtube,high,2026-02-09T05:15:44.773760
"LA CAÑA MAS ROTA DEL JUEGO (Minecraft Pokemon, Episodio 16)",Rubius Z,2026-02-08T18:30:48Z,https://www.youtube.com/watch?v=dPQc1rTAexM,934614,Mexico,MX,youtube,high,2026-02-09T05:15:44.773760
Shakira - Inevitable (Letra),The Best Flow,2026-02-08T14:00:06Z,https://www.youtube.com/watch?v=PbgIMwxrrw8,16577,Mexico,MX,youtube,high,2026-02-09T05:15:44.773760
MALDICIÓN del AMOR vs ISLA DESIERTA en Minecraft!,Dagar,2026-02-08T19:29:14Z,https://www.youtube.com/watch?v=KbONNjq-2go,570136,Mexico,MX,youtube,high,2026-02-09T05:15:44.773760
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,100,Singapore,SG,youtube,medium,2026-02-09T05:15:49.340715
Don&#39;t Miss⚡️Top 5 Best Smartwatch Under 2000 In Feb 2026⚡️Best Smartwatch Under 1500 - 2000,Techarsh,2026-02-07T06:37:00Z,https://www.youtube.com/watch?v=g8owCw95Zug,90,Singapore,SG,youtube,medium,2026-02-09T05:15:49.340715
boAt Best Selling Smart Watch Here !  boAt Storm Call 2 ||  #prasadtechintelugu,Prasadtechintelugu,2023-10-11T10:30:10Z,https://www.youtube.com/watch?v=Ij5J1Zho4qI,80,Singapore,SG,youtube,medium,2026-02-09T05:15:49.340715
Ram Vs Shyam! Best Smartwatch in sale #shorts,Shreemani Tripathi,2025-09-30T13:55:22Z,https://www.youtube.com/watch?v=scMlS46c0sQ,70,Singapore,SG,youtube,medium,2026-02-09T05:15:49.340715
How to connect noisefit smart watch to mobile #shorts #youtubeshorts,City Seva - Local Services in Etah,2023-07-01T14:54:40Z,https://www.youtube.com/watch?v=VuJ0__yiK3w,60,Singapore,SG,youtube,medium,2026-02-09T05:15:49.340715
How to insert download games  😱 in T800 ultra smart watch ✅️ #video #videoviral #smartwatch,SMART GANESH,2025-07-19T05:57:00Z,https://www.youtube.com/watch?v=mp3VvXLqeEw,100,Saudi,AE,youtube,medium,2026-02-09T05:15:49.340715
Secret feature in Noise Colorfit Icon 2 smartwatch 🤔 #noise #shorts,SuperHit Technical,2024-08-14T19:20:05Z,https://www.youtube.com/watch?v=1tAzNTTHEcE,90,Saudi,AE,youtube,medium,2026-02-09T05:15:49.340715
T800 ultra smart watch mein free fire laane ke liye secret number 👍#reels #explore #1millionviews,SAMEER BHAI VLOG,2024-01-21T11:06:58Z,https://www.youtube.com/watch?v=WATGwiLMemY,80,Saudi,AE,youtube,medium,2026-02-09T05:15:49.340715
NoiseFit Vortex ( Silver Grey ) Budget AMOLED SmartWatch #Unboxing #Shorts #Gadgets,WhySoTechie,2023-06-12T07:17:49Z,https://www.youtube.com/watch?v=ANVdslrq67s,70,Saudi,AE,youtube,medium,2026-02-09T05:15:49.340715
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,60,Saudi,AE,youtube,medium,2026-02-09T05:15:49.340715
How to insert download games  😱 in T800 ultra smart watch ✅️ #video #videoviral #smartwatch,SMART GANESH,2025-07-19T05:57:00Z,https://www.youtube.com/watch?v=mp3VvXLqeEw,100,Europe,GB,youtube,medium,2026-02-09T05:15:49.340715
Secret feature in Noise Colorfit Icon 2 smartwatch 🤔 #noise #shorts,SuperHit Technical,2024-08-14T19:20:05Z,https://www.youtube.com/watch?v=1tAzNTTHEcE,90,Europe,GB,youtube,medium,2026-02-09T05:15:49.340715
NoiseFit Vortex ( Silver Grey ) Budget AMOLED SmartWatch #Unboxing #Shorts #Gadgets,WhySoTechie,2023-06-12T07:17:49Z,https://www.youtube.com/watch?v=ANVdslrq67s,80,Europe,GB,youtube,medium,2026-02-09T05:15:49.340715
T800 ultra smart watch mein free fire laane ke liye secret number 👍#reels #explore #1millionviews,SAMEER BHAI VLOG,2024-01-21T11:06:58Z,https://www.youtube.com/watch?v=WATGwiLMemY,70,Europe,GB,youtube,medium,2026-02-09T05:15:49.340715
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,60,Europe,GB,youtube,medium,2026-02-09T05:15:49.340715
How to insert download games  😱 in T800 ultra smart watch ✅️ #video #videoviral #smartwatch,SMART GANESH,2025-07-19T05:57:00Z,https://www.youtube.com/watch?v=mp3VvXLqeEw,100,Iceland,GB,youtube,medium,2026-02-09T05:15:49.340715
Secret feature in Noise Colorfit Icon 2 smartwatch 🤔 #noise #shorts,SuperHit Technical,2024-08-14T19:20:05Z,https://www.youtube.com/watch?v=1tAzNTTHEcE,90,Iceland,GB,youtube,medium,2026-02-09T05:15:49.340715
NoiseFit Vortex ( Silver Grey ) Budget AMOLED SmartWatch #Unboxing #Shorts #Gadgets,WhySoTechie,2023-06-12T07:17:49Z,https://www.youtube.com/watch?v=ANVdslrq67s,80,Iceland,GB,youtube,medium,2026-02-09T05:15:49.340715
T800 ultra smart watch mein free fire laane ke liye secret number 👍#reels #explore #1millionviews,SAMEER BHAI VLOG,2024-01-21T11:06:58Z,https://www.youtube.com/watch?v=WATGwiLMemY,70,Iceland,GB,youtube,medium,2026-02-09T05:15:49.340715
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,60,Iceland,GB,youtube,medium,2026-02-09T05:15:49.340715
