product_title,product_url,price,rating,trend_score,country,amazon_market_type,category
"Natural Gemstone Bracelet – Green Aventurine, Black Lava Rock & Red Tiger Eye Healing Crystal Beaded Bracelet for Men & Women – Chakra Energy, Meditation & Yoga Jewelry",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTozNjc0MTIwNzU0MzM1MTQzOjE3NzA3MDIwNjk6c3BfYXRmOjMwMDY4OTU4NzUwODYzMjo6MDo6&url=%2FLava-Stone-Bracelet-Volcanic-Essential%2Fdp%2FB0FHYPTWSQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M%26dib_tag%3Dse%26keywords%3DVolcanic%2BJewelry%26qid%3D1770702069%26sr%3D8-1-spons%26aref%3D4KAOWbSVKT%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=4KAOWbSVKT&sp_cr=ZAZ,£5.99,4.3,100,Iceland,regional,Inferred from Query
"Protection Crystals Mens Bracelet Tiger Eye, Natural Stone Multicolored Tiger Eye Bracelet for Men, HASKARE Healing Crystals Unique Energy Beads Bracelet Gift for Men Jewelry Trendy Spiritual Relief",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTozNjc0MTIwNzU0MzM1MTQzOjE3NzA3MDIwNjk6c3BfYXRmOjMwMDEzODQzODY3ODEzMjo6MDo6&url=%2FProtection-Crystals-Multicolored-HASKARE-Spiritual%2Fdp%2FB0CQZJ8XDK%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M%26dib_tag%3Dse%26keywords%3DVolcanic%2BJewelry%26qid%3D1770702069%26sr%3D8-2-spons%26aref%3DkGeTMddgZA%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=kGeTMddgZA&sp_cr=ZAZ,£44.99,4.7,95,Iceland,regional,Inferred from Query
"Black Dumbbell Bracelet,Volcanic Lava Elastic Natural Stone Bead Bracelet, Stainless Steel Barbell Jewelry for Fitness Men, Jewelry Gifts for Fitness Yoga Men and Women",https://www.amazon.co.uk/sspa/click?ie=UTF8&spc=MTozNjc0MTIwNzU0MzM1MTQzOjE3NzA3MDIwNjk6c3BfYXRmOjMwMDgyODg2MzczOTczMjo6MDo6&url=%2FJYTDBCS-Dumbbell-Bracelet-Volcanic-Stainless%2Fdp%2FB0DCG3XF1Q%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M%26dib_tag%3Dse%26keywords%3DVolcanic%2BJewelry%26qid%3D1770702069%26sr%3D8-3-spons%26aref%3DyeQF39tTMk%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=yeQF39tTMk&sp_cr=ZAZ,£4.99,4.5,90,Iceland,regional,Inferred from Query
"Natural Gemstone Bracelet – Green Aventurine, Black Lava Rock & Red Tiger Eye Healing Crystal Beaded Bracelet for Men & Women – Chakra Energy, Meditation & Yoga Jewelry",https://www.amazon.co.uk/Lava-Stone-Bracelet-Volcanic-Essential/dp/B0FHYPTWSQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M&dib_tag=se&keywords=Volcanic+Jewelry&qid=1770702069&sr=8-4,£5.99,4.3,85,Iceland,regional,Inferred from Query
Obsidian & Lava Stone Designs Men’s Necklace Bold Black Volcanic Rock Accessories Masculine Beaded Jewelry Collection Gift for Men Women,https://www.amazon.co.uk/COLORFUL-BLING-Accessories-Masculine-Collection/dp/B0FF9S9TP1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M&dib_tag=se&keywords=Volcanic+Jewelry&qid=1770702069&sr=8-5,£6.49,,80,Iceland,regional,Inferred from Query
"Volcanic Rocks Pendant Necklace Anti-EMF Radiation Protection Pendant Scales Biological Science Negative Ions, Volcanic Rocks, Volcanic Rocks",https://www.amazon.co.uk/Junterone-Volcanic-Radiation-Protection-Biological/dp/B0D76F8PZF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M&dib_tag=se&keywords=Volcanic+Jewelry&qid=1770702069&sr=8-6,£9.60,,75,Iceland,regional,Inferred from Query
"Crystal Healing Bracelets for Women,8mm Natural Stone Reiki Gemstone Beaded Bracelet Womens Mens Jewellery Gifts Birthday Christmas",https://www.amazon.co.uk/Jovivi-Diffuser-Bracelet-Essential-Jewellery/dp/B073H3GC2Q/ref=sr_1_7?dib=eyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M&dib_tag=se&keywords=Volcanic+Jewelry&qid=1770702069&sr=8-7,£5.99,4.2,70,Iceland,regional,Inferred from Query
"2pcs Protective Bracelet, Triple Protective Energy Bracelet Tiger Eye Red Agate Hematite Volcanic Obsidian Stone Manifestation Jewelry for Good Luck Happiness Women Men Gift",https://www.amazon.co.uk/Mikovivi-Protective-Bracelet-Manifestation-Happiness/dp/B0FMQQXSLS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M&dib_tag=se&keywords=Volcanic+Jewelry&qid=1770702069&sr=8-8,£2.73,,65,Iceland,regional,Inferred from Query
"Dumbbell Bracelet for Men,Lava Beads Dumbbell Bracelet,Natural Volcanic Stone Bracelet Anxiety Bead Bracelet Yoga Beads Elastic Jewelry Set for Women Men",https://www.amazon.co.uk/Dumbbell-Bracelet-Natural-Volcanic-Anxiety/dp/B0DJVRZ2HG/ref=sr_1_9?dib=eyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M&dib_tag=se&keywords=Volcanic+Jewelry&qid=1770702069&sr=8-9,£3.37,,60,Iceland,regional,Inferred from Query
"6mm Boho Natural Blue Turquoises Beads Bracelet Men Cross Pendant Black Volcanic Stone Strand Bracelets for Women Charm Jewelry,Matte Black",https://www.amazon.co.uk/PRAK-Turquoises-Bracelet-Volcanic-Bracelets/dp/B08F24BVVV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.z-eQoOtecv7393JGfnadBb_lmoKhHrGM7C8Q6MGr7mNTInX3vdONildemeCl8guiGoMyA2RF7WuShhOHa18htZYNu__4hF1Y7oHTu8eMwz2aSayPosaGHLAoJPcZ04RzBd16csf7UN0oHE-PxvaXfIPW5qbShER6lw9teP8QReTJQCYyPmmx7N-BCaIhoImbeUeQRjzyqrqHPQNT9rFXOP9r9dBFKgX63qV1gNWtUq2Mt28mrrFsyVzMHeP2KAC4nGCk5eDSlcfwQA9CJlF4gXxv92tXN41DsrkEpyMkcds.ZKE-idUT3JU-jXScOAgYQz4U66zxUhbldV2MuHbLI3M&dib_tag=se&keywords=Volcanic+Jewelry&qid=1770702069&sr=8-10,£4.59,3.8,55,Iceland,regional,Inferred from Query
